table_schema,table_name,total_size
public,ods_triage_vital_sign_57,281 MB
public,ods_triage_vital_sign_59,68 MB
public,ods_triage_vital_sign_60,113 MB
public,ods_laboratory_test_11,128 MB
public,ods_hiv_art_clinical_13,336 MB
public,ods_hiv_art_clinical_14,201 MB
public,ods_hiv_art_clinical_31,99 MB
public,ods_hiv_art_clinical_32,565 MB
public,ods_hiv_art_clinical_35,168 MB
public,ods_hiv_art_clinical_36,245 MB
public,ods_hiv_art_clinical_37,345 MB
public,ods_hiv_art_clinical_38,137 MB
public,ods_hiv_art_clinical_41,67 MB
public,ods_base_organisation_unit_24,8712 kB
public,ods_base_organisation_unit_25,16 MB
public,ods_base_organisation_unit_29,15 MB
public,ods_base_organisation_unit_30,25 MB
public,ods_base_organisation_unit_31,13 MB
public,ods_hiv_art_clinical_42,329 MB
public,ods_base_organisation_unit_44,6488 kB
public,ods_base_organisation_unit_45,20 MB
public,ods_base_organisation_unit_46,20 MB
public,ods_across_locks,8192 bytes
public,ods_hiv_art_clinical_60,207 MB
public,ods_base_application_codeset_1,6816 kB
public,ods_base_application_codeset_3,12 MB
public,ods_base_application_codeset_4,12 MB
public,ods_base_application_codeset_5,13 MB
public,ods_base_application_codeset_6,14 MB
public,ods_base_application_codeset_7,12 MB
public,ods_base_application_codeset_9,11 MB
public,ods_base_application_codeset_10,20 MB
public,ods_base_application_codeset_11,19 MB
public,ods_base_application_codeset_12,17 MB
public,ods_base_application_codeset_13,7960 kB
public,ods_base_application_codeset_15,26 MB
public,ods_base_application_codeset_16,16 MB
public,ods_base_application_codeset_17,15 MB
public,ods_base_application_codeset_18,16 MB
public,ods_base_application_codeset_20,16 MB
public,ods_base_application_codeset_21,17 MB
public,ods_base_application_codeset_22,29 MB
public,ods_base_application_codeset_23,16 MB
public,ods_base_application_codeset_24,9144 kB
public,ods_base_application_codeset_26,15 MB
public,ods_base_application_codeset_27,27 MB
public,ods_base_application_codeset_28,17 MB
public,ods_base_application_codeset_29,14 MB
public,ods_base_application_codeset_30,25 MB
public,ods_base_application_codeset_31,14 MB
public,ods_base_application_codeset_32,12 MB
public,ods_base_application_codeset_33,11 MB
public,ods_base_application_codeset_34,13 MB
public,ods_base_application_codeset_35,20 MB
public,ods_base_application_codeset_36,14 MB
public,ods_base_application_codeset_37,19 MB
public,ods_base_application_codeset_38,16 MB
public,ods_base_application_codeset_39,16 MB
public,ods_base_application_codeset_40,16 MB
public,ods_base_application_codeset_41,6064 kB
public,ods_base_application_codeset_42,15 MB
public,ods_base_application_codeset_43,15 MB
public,ods_base_application_codeset_49,14 MB
public,ods_base_application_codeset_50,18 MB
public,ods_base_application_codeset_51,26 MB
public,ods_base_application_codeset_52,16 MB
public,ods_base_application_codeset_53,20 MB
public,ods_base_application_codeset_54,21 MB
public,ods_base_application_codeset_55,18 MB
public,ods_base_application_codeset_56,9272 kB
public,ods_base_application_codeset_57,18 MB
public,ods_base_application_codeset_58,14 MB
public,ods_base_application_codeset_59,19 MB
public,ods_base_application_codeset_60,21 MB
public,ods_hiv_status_tracker_14,206 MB
public,test_replication,8192 bytes
public,ods_quick_sync_history,8192 bytes
public,ods_report,8192 bytes
public,ods_sync_config,8192 bytes
public,ods_base_organisation_unit_39,15 MB
public,ods_base_organisation_unit_40,17 MB
expanded_hts_prep,expanded_hts_weekly_2024w20,16 kB
